trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
13315,2022,IN,IN,WHOLE,VEGE1,6763.43,391088678.284,2.0,2.0,391088678.284,100411862.619,290676815.665,57824.015076
11032,2022,IN,IN,RETA1,BEVER,5755.31,383969725.053,2.0,2.0,383969725.053,98584114.614,285385610.439,66715.732958
6399,2022,IN,IN,LANDT,FOOD5,6121.13,374610094.954,2.0,2.0,374610094.954,97206389.333,277403705.622,61199.499921
13319,2022,IN,IN,WHOLE,WHOLE,6469.47,374090668.703,2.0,2.0,374090668.703,96047630.419,278043038.284,57824.005475
13233,2022,IN,IN,WHOLE,FOOD5,6268.34,362460769.366,2.0,2.0,362460769.366,93061658.389,269399110.977,57824.044223
13263,2022,IN,IN,WHOLE,MOTO1,6064.66,350683074.289,2.0,2.0,350683074.289,90037739.862,260645334.427,57824.028765
9311,2022,IN,IN,PLANT,TEXTI,13194.29,347257090.948,1.0,1.0,347257090.948,0.0,347257090.948,26318.740224
11151,2022,IN,IN,RETA1,TEXTI,5199.64,346898080.446,2.0,2.0,346898080.446,89065980.703,257832099.743,66715.788102
13180,2022,IN,IN,WHEAT,WHEAT,6805.99,339185080.574,2.0,2.0,339185080.574,0.0,339185080.574,49836.259027
13229,2022,IN,IN,WHOLE,FABRI,5473.97,316526986.325,2.0,2.0,316526986.325,81268177.861,235258808.464,57824.026497
2591,2022,IN,IN,CONST,SUPPO,1175.67,302108590.844,5.0,5.0,302108590.844,68265538.694,233843052.15,256967.168375
2499,2022,IN,IN,CONST,CRUDE,1174.92,301916544.731,5.0,5.0,301916544.731,68222143.267,233694401.464,256967.746511
13283,2022,IN,IN,WHOLE,POSTT,5167.9,298828707.014,2.0,2.0,298828707.014,76724151.686,222104555.328,57824.01111
6476,2022,IN,IN,LANDT,TEXTI,4869.41,298005602.579,2.0,2.0,298005602.579,77328531.766,220677070.813,61199.529836
6356,2022,IN,IN,LANDT,BASIC,4397.94,269151600.338,2.0,2.0,269151600.338,69841297.937,199310302.401,61199.470738
13126,2022,IN,IN,WHEAT,FOOD5,4875.91,242996756.988,2.0,2.0,242996756.988,0.0,242996756.988,49836.185858
11053,2022,IN,IN,RETA1,CONST,3509.48,234137609.913,2.0,2.0,234137609.913,60114762.871,174022847.042,66715.755586
11157,2022,IN,IN,RETA1,VEGE1,3507.38,233997735.096,2.0,2.0,233997735.096,60078850.052,173918885.044,66715.820668
2807,2022,IN,IN,CROPS,RAWMI,2975.78,232472813.784,3.0,3.0,232472813.784,45548816.291,186923997.493,78121.639968
6429,2022,IN,IN,LANDT,MOTO1,3579.7,219075973.466,2.0,2.0,219075973.466,56847331.818,162228641.648,61199.534449
6475,2022,IN,IN,LANDT,SUPPO,3449.34,211097907.112,2.0,2.0,211097907.112,54777128.6,156320778.512,61199.506895
2513,2022,IN,IN,CONST,FINAN,798.98,205312615.708,5.0,5.0,205312615.708,46393173.636,158919442.072,256968.404351
1794,2022,IN,IN,CEREA,FOOD5,10235.84,191737722.091,1.0,1.0,191737722.091,0.0,191737722.091,18731.996797
11474,2022,IN,IN,SALEM,LANDT,10265.35,188202742.914,1.0,1.0,188202742.914,0.0,188202742.914,18333.787247
13197,2022,IN,IN,WHOLE,BITUM,3028.73,175133508.115,2.0,2.0,175133508.115,44965458.56,130168049.554,57824.074155
13317,2022,IN,IN,WHOLE,WEARI,2911.07,168329734.228,2.0,2.0,168329734.228,43218592.321,125111141.907,57824.007746
13206,2022,IN,IN,WHOLE,CHEM1,2880.66,166571508.303,2.0,2.0,166571508.303,42767168.514,123804339.789,57824.077921
13301,2022,IN,IN,WHOLE,RUBBE,2794.81,161607293.898,2.0,2.0,161607293.898,41492608.439,120114685.459,57824.071725
13293,2022,IN,IN,WHOLE,RAWMI,2730.23,157872797.844,2.0,2.0,157872797.844,40533778.063,117339019.781,57823.992061
11159,2022,IN,IN,RETA1,WEARI,2307.72,153961003.036,2.0,2.0,153961003.036,39529442.503,114431560.533,66715.634061
2726,2022,IN,IN,CROPS,ANIMA,1926.65,150512610.424,3.0,3.0,150512610.424,29490206.318,121022404.107,78121.407845
6357,2022,IN,IN,LANDT,BEVER,2433.54,148931532.11,2.0,2.0,148931532.11,38645772.469,110285759.641,61199.541454
4820,2022,IN,IN,FISHF,FISHF,1600.32,144688278.914,3.0,3.0,144688278.914,28349031.71,116339247.204,90412.091903
2530,2022,IN,IN,CONST,LANDT,562.41,144519732.389,5.0,5.0,144519732.389,32656196.091,111863536.298,256965.083105
6437,2022,IN,IN,LANDT,NONME,2358.57,144343184.213,2.0,2.0,144343184.213,37455156.578,106888027.635,61199.448909
6402,2022,IN,IN,LANDT,FURNI,2262.66,138473947.2,2.0,2.0,138473947.2,35932166.819,102541780.381,61199.626634
6441,2022,IN,IN,LANDT,PADDY,2216.18,135629400.822,2.0,2.0,135629400.822,35194044.471,100435356.351,61199.63217
6395,2022,IN,IN,LANDT,FABRI,2198.56,134550577.82,2.0,2.0,134550577.82,34914104.101,99636473.719,61199.411351
12894,2022,IN,IN,VEGET,CHEM1,943.11,133269734.845,4.0,4.0,133269734.845,37170590.946,96099143.899,141308.792023
8742,2022,IN,IN,OILSE,VEGE1,8586.52,130270616.283,1.0,1.0,130270616.283,0.0,130270616.283,15171.526565
2553,2022,IN,IN,CONST,NONME,505.41,129872532.001,5.0,5.0,129872532.001,29346462.257,100526069.744,256964.705884
2820,2022,IN,IN,CROPS,TOBAC,1647.65,128717101.678,3.0,3.0,128717101.678,25219773.11,103497328.568,78121.628791
13202,2022,IN,IN,WHOLE,CEMEN,2195.07,126927662.714,2.0,2.0,126927662.714,32588626.925,94339035.79,57823.970404
2561,2022,IN,IN,CONST,PFERT,489.96,125902435.444,5.0,5.0,125902435.444,28449365.026,97453070.417,256964.722516
2729,2022,IN,IN,CROPS,BEVER,1575.52,123082033.658,3.0,3.0,123082033.658,24115684.103,98966349.555,78121.530452
11120,2022,IN,IN,RETA1,PFERT,1831.08,122161631.324,2.0,2.0,122161631.324,31364963.116,90796668.208,66715.616644
2502,2022,IN,IN,CONST,DISTR,474.16,121843928.423,5.0,5.0,121843928.423,27532290.251,94311638.172,256967.961074
6452,2022,IN,IN,LANDT,PRINT,1971.73,120668675.659,2.0,2.0,120668675.659,31311933.192,89356742.467,61199.391224
13276,2022,IN,IN,WHOLE,PAPER,2075.53,120015451.559,2.0,2.0,120015451.559,30813919.459,89201532.099,57824.002331
6467,2022,IN,IN,LANDT,RUBBE,1952.77,119508815.191,2.0,2.0,119508815.191,31010964.666,88497850.525,61199.637024
2581,2022,IN,IN,CONST,RETA1,448.73,115309118.281,5.0,5.0,115309118.281,26055661.157,89253457.123,256967.705036
11129,2022,IN,IN,RETA1,PROCE,1720.75,114801448.948,2.0,2.0,114801448.948,29475238.443,85326210.504,66715.937206
2503,2022,IN,IN,CONST,EDUCA,437.89,112521986.111,5.0,5.0,112521986.111,25425870.795,87096115.316,256964.046018
6486,2022,IN,IN,LANDT,WHOLE,1810.58,110806399.869,2.0,2.0,110806399.869,28752802.424,82053597.445,61199.394597
13288,2022,IN,IN,WHOLE,PROCE,1896.89,109685670.264,2.0,2.0,109685670.264,28161752.22,81523918.044,57823.948813
13275,2022,IN,IN,WHOLE,PADDY,1817.26,105081056.531,2.0,2.0,105081056.531,26979519.475,78101537.056,57823.897808
13242,2022,IN,IN,WHOLE,HOTEL,1804.79,104360377.351,2.0,2.0,104360377.351,26794485.382,77565891.969,57824.111033
11047,2022,IN,IN,RETA1,CHEM1,1521.62,101516192.44,2.0,2.0,101516192.44,26064252.72,75451939.72,66715.863645
13299,2022,IN,IN,WHOLE,RETA1,1754.68,101462570.25,2.0,2.0,101462570.25,26050474.562,75412095.689,57823.973745
13236,2022,IN,IN,WHOLE,FURNI,1753.92,101418520.104,2.0,2.0,101418520.104,26039164.704,75379355.4,57823.914491
6408,2022,IN,IN,LANDT,HOTEL,1601.26,97996129.106,2.0,2.0,97996129.106,25428705.759,72567423.347,61199.386175
6368,2022,IN,IN,LANDT,CEMEN,1592.26,97445427.423,2.0,2.0,97445427.423,25285805.92,72159621.503,61199.444452
2545,2022,IN,IN,CONST,MOTO1,378.44,97247387.176,5.0,5.0,97247387.176,21974367.738,75273019.437,256969.102568
13311,2022,IN,IN,WHOLE,TOBAC,1673.4,96762800.706,2.0,2.0,96762800.706,24843810.6,71918990.106,57824.071176
6439,2022,IN,IN,LANDT,OFFIC,1571.78,96192124.003,2.0,2.0,96192124.003,24960590.178,71231533.826,61199.48339
2522,2022,IN,IN,CONST,HEALT,374.25,96170294.657,5.0,5.0,96170294.657,21730984.057,74439310.6,256968.055196
6442,2022,IN,IN,LANDT,PAPER,1570.04,96085636.383,2.0,2.0,96085636.383,24932958.042,71152678.341,61199.48306
13313,2022,IN,IN,WHOLE,TRANS,1651.55,95499210.427,2.0,2.0,95499210.427,24519384.298,70979826.128,57823.989844
13248,2022,IN,IN,WHOLE,LANDT,1645.29,95137192.156,2.0,2.0,95137192.156,24426436.251,70710755.904,57823.965475
10618,2022,IN,IN,RAWMI,HOTEL,3140.42,95081226.178,1.0,1.0,95081226.178,0.0,95081226.178,30276.595544
2574,2022,IN,IN,CONST,RAILW,362.73,93208521.749,5.0,5.0,93208521.749,21061731.248,72146790.501,256963.917374
2568,2022,IN,IN,CONST,PRINT,362.68,93197003.462,5.0,5.0,93197003.462,21059128.535,72137874.927,256967.584267
6369,2022,IN,IN,LANDT,CERAM,1510.02,92412799.623,2.0,2.0,92412799.623,23979905.241,68432894.382,61199.718959
11083,2022,IN,IN,RETA1,HOTEL,1374.87,91725821.484,2.0,2.0,91725821.484,23550577.84,68175243.643,66715.996046
13211,2022,IN,IN,WHOLE,COMPU,1585.39,91673556.971,2.0,2.0,91673556.971,23537149.295,68136407.676,57823.978309
13285,2022,IN,IN,WHOLE,PREC1,1579.76,91348358.283,2.0,2.0,91348358.283,23453654.661,67894703.622,57824.200058
6484,2022,IN,IN,LANDT,WEARI,1473.58,90182642.857,2.0,2.0,90182642.857,23401208.912,66781433.945,61199.692488
2524,2022,IN,IN,CONST,HOTEL,350.11,89965644.318,5.0,5.0,89965644.318,20328959.055,69636685.264,256963.937957
11072,2022,IN,IN,RETA1,FISH5,1338.83,89320857.863,2.0,2.0,89320857.863,22933104.134,66387753.729,66715.608302
2602,2022,IN,IN,CONST,WHOLE,335.51,86214338.277,5.0,5.0,86214338.277,19481300.513,66733037.765,256965.033164
11116,2022,IN,IN,RETA1,PADDY,1271.37,84820230.443,2.0,2.0,84820230.443,21777569.36,63042661.083,66715.614214
13271,2022,IN,IN,WHOLE,NONME,1416.74,81921741.713,2.0,2.0,81921741.713,21033374.606,60888367.107,57824.118549
2519,2022,IN,IN,CONST,FURNI,316.64,81366552.449,5.0,5.0,81366552.449,18385877.472,62980674.977,256968.647199
6459,2022,IN,IN,LANDT,RAWMI,1324.52,81059687.15,2.0,2.0,81059687.15,21033921.975,60025765.175,61199.292687
2481,2022,IN,IN,CONST,BITUM,314.78,80888135.884,5.0,5.0,80888135.884,18277772.753,62610363.132,256967.202122
13188,2022,IN,IN,WHOLE,ANIMA,1321.32,76404344.141,2.0,2.0,76404344.141,19616784.973,56787559.168,57824.25464
13209,2022,IN,IN,WHOLE,COKEO,1312.69,75905104.615,2.0,2.0,75905104.615,19488605.423,56416499.191,57824.089934
11114,2022,IN,IN,RETA1,OFFIC,1128.19,75267971.351,2.0,2.0,75267971.351,19325029.632,55942941.719,66715.687385
2580,2022,IN,IN,CONST,RESEA,292.28,75107332.218,5.0,5.0,75107332.218,16971521.662,58135810.556,256970.481107
11127,2022,IN,IN,RETA1,PRINT,1108.85,73977721.901,2.0,2.0,73977721.901,18993758.463,54983963.438,66715.716193
11142,2022,IN,IN,RETA1,RUBBE,1108.18,73933392.438,2.0,2.0,73933392.438,18982376.886,54951015.551,66716.050134
2573,2022,IN,IN,CONST,RADIO,284.44,73091231.524,5.0,5.0,73091231.524,16515956.332,56575275.192,256965.375911
11028,2022,IN,IN,RETA1,ANIMA,1080.12,72061178.175,2.0,2.0,72061178.175,18501686.422,53559491.753,66715.900247
11134,2022,IN,IN,RETA1,RAWMI,1074.64,71695740.239,2.0,2.0,71695740.239,18407860.339,53287879.901,66716.053971
2592,2022,IN,IN,CONST,TEXTI,272.28,69966131.947,5.0,5.0,69966131.947,15809797.644,54156334.303,256963.904609
13213,2022,IN,IN,WHOLE,COPP1,1195.77,69144094.903,2.0,2.0,69144094.903,17752718.869,51391376.034,57823.908363
6455,2022,IN,IN,LANDT,PUBLI,1126.8,68959654.06,2.0,2.0,68959654.06,17894122.639,51065531.421,61199.550994
2744,2022,IN,IN,CROPS,CONST,854.09,66722777.473,3.0,3.0,66722777.473,13073113.729,53649663.744,78121.483067
1778,2022,IN,IN,CEREA,CEREA,3531.06,66143847.862,1.0,1.0,66143847.862,0.0,66143847.862,18732.009046
6449,2022,IN,IN,LANDT,POSTT,1077.5,65942603.173,2.0,2.0,65942603.173,17111237.641,48831365.531,61199.631715
5022,2022,IN,IN,FORES,CONST,2451.64,64549553.64,1.0,1.0,64549553.64,0.0,64549553.64,26329.132189
2520,2022,IN,IN,CONST,GASDI,246.9,63445282.001,5.0,5.0,63445282.001,14336323.046,49108958.955,256967.525318
6372,2022,IN,IN,LANDT,CHEM1,1036.15,63411889.943,2.0,2.0,63411889.943,16454550.865,46957339.078,61199.52704
11152,2022,IN,IN,RETA1,TOBAC,948.92,63307822.916,2.0,2.0,63307822.916,16254265.019,47053557.897,66715.658766
13186,2022,IN,IN,WHOLE,ALUM1,1082.43,62590763.264,2.0,2.0,62590763.264,16070153.576,46520609.687,57824.305742
2512,2022,IN,IN,CONST,FABRI,241.98,62181156.733,5.0,5.0,62181156.733,14050676.775,48130479.958,256968.165687
11117,2022,IN,IN,RETA1,PAPER,909.11,60651733.395,2.0,2.0,60651733.395,15572314.811,45079418.584,66715.505709
2558,2022,IN,IN,CONST,PAPER,233.06,59887992.676,5.0,5.0,59887992.676,13532505.216,46355487.46,256963.840539
13320,2022,IN,IN,WHOLE,WOODW,1018.28,58881227.537,2.0,2.0,58881227.537,15117731.754,43763495.783,57824.20114
13237,2022,IN,IN,WHOLE,GASDI,967.89,55967333.011,2.0,2.0,55967333.011,14369590.493,41597742.518,57824.063696
13307,2022,IN,IN,WHOLE,SUGA1,958.16,55404821.844,2.0,2.0,55404821.844,14225165.975,41179655.869,57824.185777
13203,2022,IN,IN,WHOLE,CERAM,943.83,54576092.731,2.0,2.0,54576092.731,14012390.105,40563702.627,57824.070787
6379,2022,IN,IN,LANDT,COPP1,891.54,54562025.837,2.0,2.0,54562025.837,14158127.604,40403898.232,61199.75081
2468,2022,IN,IN,CONST,93197,212.22,54534365.535,5.0,5.0,54534365.535,12322780.462,42211585.073,256970.905358
13309,2022,IN,IN,WHOLE,SUPPO,927.17,53612678.51,2.0,2.0,53612678.51,13765033.887,39847644.624,57824.000464
13289,2022,IN,IN,WHOLE,PUBLI,917.87,53075205.937,2.0,2.0,53075205.937,13627038.017,39448167.92,57824.3171
13185,2022,IN,IN,WHOLE,AIRTR,916.13,52974531.653,2.0,2.0,52974531.653,13601189.935,39373341.718,57824.251638
6354,2022,IN,IN,LANDT,ANIMA,865.19,52949002.118,2.0,2.0,52949002.118,13739569.179,39209432.939,61199.276596
12949,2022,IN,IN,VEGET,PUBLI,357.52,50521396.572,4.0,4.0,50521396.572,14091047.515,36430349.057,141310.686317
2490,2022,IN,IN,CONST,CHEM1,194.68,50026468.988,5.0,5.0,50026468.988,11304160.02,38722308.968,256967.685371
11104,2022,IN,IN,RETA1,MOTO1,740.0,49369518.34,2.0,2.0,49369518.34,12675609.396,36693908.945,66715.565324
6465,2022,IN,IN,LANDT,RETA1,806.25,49342253.836,2.0,2.0,49342253.836,12803665.469,36538588.368,61199.69468
2511,2022,IN,IN,CONST,ELECT,191.09,49104861.184,5.0,5.0,49104861.184,11095910.222,38008950.962,256972.427568
2583,2022,IN,IN,CONST,RUBBE,190.73,49011467.988,5.0,5.0,49011467.988,11074806.761,37936661.227,256967.797347
2570,2022,IN,IN,CONST,PROCE,190.42,48931742.935,5.0,5.0,48931742.935,11056791.803,37874951.133,256967.455808
13240,2022,IN,IN,WHOLE,HEALT,842.05,48690724.221,2.0,2.0,48690724.221,12501324.08,36189400.141,57824.029714
9305,2022,IN,IN,PLANT,RUBBE,1786.39,47015494.743,1.0,1.0,47015494.743,0.0,47015494.743,26318.718053
6385,2022,IN,IN,LANDT,EDUCA,763.83,46746204.502,2.0,2.0,46746204.502,12130024.834,34616179.669,61199.749292
6454,2022,IN,IN,LANDT,PROCE,756.36,46288930.604,2.0,2.0,46288930.604,12011368.275,34277562.328,61199.601518
6405,2022,IN,IN,LANDT,GLASS,747.7,45759036.24,2.0,2.0,45759036.24,11873867.662,33885168.578,61199.727484
13239,2022,IN,IN,WHOLE,GLASS,789.32,45641428.78,2.0,2.0,45641428.78,11718418.688,33923010.092,57823.732808
6351,2022,IN,IN,LANDT,AIRTR,742.85,45461878.0,2.0,2.0,45461878.0,11796759.009,33665118.991,61199.270378
6480,2022,IN,IN,LANDT,TRANS,739.79,45274902.845,2.0,2.0,45274902.845,11748241.418,33526661.428,61199.668615
2776,2022,IN,IN,CROPS,MEATA,568.05,44376995.283,3.0,3.0,44376995.283,8694864.457,35682130.827,78121.635918
2595,2022,IN,IN,CONST,TRAN2,170.48,43806579.837,5.0,5.0,43806579.837,9898691.601,33907888.235,256960.228983
13228,2022,IN,IN,WHOLE,ELECT,756.64,43752090.26,2.0,2.0,43752090.26,11233331.775,32518758.485,57824.183575
8717,2022,IN,IN,OILSE,OILSE,2875.67,43628354.897,1.0,1.0,43628354.897,0.0,43628354.897,15171.544335
2599,2022,IN,IN,CONST,VEGET,169.48,43550352.563,5.0,5.0,43550352.563,9840793.569,33709558.994,256964.553711
8794,2022,IN,IN,PADDY,PROCE,2300.94,43155307.131,1.0,1.0,43155307.131,0.0,43155307.131,18755.511717
2495,2022,IN,IN,CONST,COMPU,166.13,42690508.551,5.0,5.0,42690508.551,9646500.138,33044008.413,256970.496304
6366,2022,IN,IN,LANDT,BUSIN,679.12,41561626.44,2.0,2.0,41561626.44,10784695.062,30776931.379,61199.237896
13231,2022,IN,IN,WHOLE,FISH5,713.48,41256395.401,2.0,2.0,41256395.401,10592563.112,30663832.289,57824.179236
11089,2022,IN,IN,RETA1,LANDT,610.76,40747237.83,2.0,2.0,40747237.83,10461841.396,30285396.434,66715.629429
9317,2022,IN,IN,PLANT,WHOLE,1522.09,40059498.589,1.0,1.0,40059498.589,0.0,40059498.589,26318.745008
6394,2022,IN,IN,LANDT,ELECT,649.97,39778002.985,2.0,2.0,39778002.985,10321868.249,29456134.735,61199.752273
6487,2022,IN,IN,LANDT,WOODW,649.93,39775162.513,2.0,2.0,39775162.513,10321131.184,29454031.329,61199.14839
2594,2022,IN,IN,CONST,TRAN1,154.72,39757379.451,5.0,5.0,39757379.451,8983719.787,30773659.664,256963.414239
2735,2022,IN,IN,CROPS,BUSIN,502.41,39248712.122,3.0,3.0,39248712.122,7690070.718,31558641.404,78120.881595
6384,2022,IN,IN,LANDT,DISTR,633.9,38794625.268,2.0,2.0,38794625.268,10066694.674,28727930.594,61199.913658
11037,2022,IN,IN,RETA1,BITUM,581.3,38782080.685,2.0,2.0,38782080.685,9957287.874,28824792.811,66716.120222
11077,2022,IN,IN,RETA1,FURNI,579.02,38629489.69,2.0,2.0,38629489.69,9918110.181,28711379.51,66715.294273
4810,2022,IN,IN,FISHF,CHEM1,425.29,38451363.778,3.0,3.0,38451363.778,7533844.063,30917519.715,90412.10416
13257,2022,IN,IN,WHOLE,MEAT4,652.84,37749963.618,2.0,2.0,37749963.618,9692288.146,28057675.472,57824.219745
12923,2022,IN,IN,VEGET,MACHI,261.74,36985932.901,4.0,4.0,36985932.901,10315837.907,26670094.994,141307.912054
9580,2022,IN,IN,POULT,HOTEL,1319.05,36124292.211,1.0,1.0,36124292.211,0.0,36124292.211,27386.59809
2546,2022,IN,IN,CONST,MOTOR,140.43,36085366.014,5.0,5.0,36085366.014,8153978.485,27931387.529,256963.36975
11489,2022,IN,IN,SALEM,MOTO1,1901.67,34864816.726,1.0,1.0,34864816.726,0.0,34864816.726,18333.789104
2600,2022,IN,IN,CONST,WEARI,135.28,34761939.628,5.0,5.0,34761939.628,7854932.321,26907007.307,256962.88903
3295,2022,IN,IN,EDUCA,EDUCA,874.89,34474465.172,2.0,2.0,34474465.172,0.0,34474465.172,39404.342457
6458,2022,IN,IN,LANDT,RAILW,561.84,34384618.084,2.0,2.0,34384618.084,8922355.851,25462262.233,61200.017948
8690,2022,IN,IN,OILSE,FOOD5,2250.31,34140627.768,1.0,1.0,34140627.768,0.0,34140627.768,15171.522043
13286,2022,IN,IN,WHOLE,PRINT,581.52,33625925.622,2.0,2.0,33625925.622,8633443.031,24992482.591,57824.194563
6406,2022,IN,IN,LANDT,HEALT,547.21,33488945.714,2.0,2.0,33488945.714,8689940.659,24799005.055,61199.440277
13264,2022,IN,IN,WHOLE,MOTOR,549.74,31788182.803,2.0,2.0,31788182.803,8161603.293,23626579.51,57824.031002
11130,2022,IN,IN,RETA1,PUBLI,469.76,31340262.606,2.0,2.0,31340262.606,8046603.258,23293659.347,66715.477278
11031,2022,IN,IN,RETA1,BASIC,464.8,31009567.033,2.0,2.0,31009567.033,7961697.267,23047869.766,66715.935957
13268,2022,IN,IN,WHOLE,NFERT,531.26,30719352.523,2.0,2.0,30719352.523,7887181.544,22832170.979,57823.575129
13184,2022,IN,IN,WHOLE,93197,517.12,29901929.746,2.0,2.0,29901929.746,7677308.571,22224621.175,57823.966866
13292,2022,IN,IN,WHOLE,RAILW,511.85,29597295.899,2.0,2.0,29597295.899,7599093.952,21998201.947,57824.159224
13218,2022,IN,IN,WHOLE,DISTR,499.48,28882037.746,2.0,2.0,28882037.746,7415451.705,21466586.041,57824.212673
2469,2022,IN,IN,CONST,AIRTR,112.14,28816427.582,5.0,5.0,28816427.582,6511463.135,22304964.446,256968.32158
13298,2022,IN,IN,WHOLE,RESEA,493.14,28515067.866,2.0,2.0,28515067.866,7321232.335,21193835.531,57823.473792
6350,2022,IN,IN,LANDT,93197,462.96,28332739.11,2.0,2.0,28332739.11,7351972.907,20980766.203,61199.108152
9243,2022,IN,IN,PLANT,CHEM1,1075.87,28315540.026,1.0,1.0,28315540.026,0.0,28315540.026,26318.737418
2796,2022,IN,IN,CROPS,PFERT,360.3,28147542.218,3.0,3.0,28147542.218,5514998.544,22632543.674,78122.515176
2518,2022,IN,IN,CONST,FOUND,108.82,27962445.846,5.0,5.0,27962445.846,6318494.365,21643951.481,256960.538927
12966,2022,IN,IN,VEGET,VEGE1,196.66,27789609.011,4.0,4.0,27789609.011,7750868.495,20038740.516,141307.886764
13230,2022,IN,IN,WHOLE,FINAN,478.25,27654282.336,2.0,2.0,27654282.336,7100225.992,20554056.344,57823.904519
6352,2022,IN,IN,LANDT,ALUM1,448.1,27423807.165,2.0,2.0,27423807.165,7116117.03,20307690.135,61200.194521
6396,2022,IN,IN,LANDT,FINAN,446.34,27315676.287,2.0,2.0,27315676.287,7088058.49,20227617.797,61199.256815
6482,2022,IN,IN,LANDT,VEGE1,445.39,27257819.753,2.0,2.0,27257819.753,7073045.481,20184774.272,61199.891675
11081,2022,IN,IN,RETA1,HEALT,406.79,27139427.11,2.0,2.0,27139427.11,6968039.973,20171387.136,66716.062612
5036,2022,IN,IN,FORES,FURNI,1030.05,27120210.653,1.0,1.0,27120210.653,0.0,27120210.653,26329.023497
6464,2022,IN,IN,LANDT,RESEA,440.23,26941933.869,2.0,2.0,26941933.869,6991077.252,19950856.618,61199.677144
2507,2022,IN,IN,CONST,ELEC4,103.08,26489344.825,5.0,5.0,26489344.825,5985627.185,20503717.64,256978.510138
12944,2022,IN,IN,VEGET,PLAST,181.63,25666404.709,4.0,4.0,25666404.709,7158680.338,18507724.371,141311.483285
1801,2022,IN,IN,CEREA,HOTEL,1368.04,25626097.255,1.0,1.0,25626097.255,0.0,25626097.255,18731.979514
2804,2022,IN,IN,CROPS,PUBLI,322.2,25170848.084,3.0,3.0,25170848.084,4931769.511,20239078.573,78121.8128
13304,2022,IN,IN,WHOLE,SEACO,435.23,25166865.55,2.0,2.0,25166865.55,6461582.721,18705282.828,57824.289571
2567,2022,IN,IN,CONST,PREC1,96.75,24862425.137,5.0,5.0,24862425.137,5618002.588,19244422.549,256975.970408
6448,2022,IN,IN,LANDT,PLAST,405.6,24822763.897,2.0,2.0,24822763.897,6441180.535,18381583.362,61200.108227
5772,2022,IN,IN,HOTEL,BUSIN,1674.77,24482617.987,1.0,1.0,24482617.987,0.0,24482617.987,14618.495666
2601,2022,IN,IN,CONST,WHEAT,94.92,24391267.244,5.0,5.0,24391267.244,5511538.064,18879729.18,256966.574421
11162,2022,IN,IN,RETA1,WOODW,361.72,24132125.419,2.0,2.0,24132125.419,6195916.144,17936209.275,66714.932597
6451,2022,IN,IN,LANDT,PREC1,393.19,24063025.118,2.0,2.0,24063025.118,6244038.32,17818986.797,61199.48401
13232,2022,IN,IN,WHOLE,FISHF,406.59,23510716.009,2.0,2.0,23510716.009,6036366.985,17474349.024,57824.13736
2586,2022,IN,IN,CONST,SEACO,90.98,23378838.716,5.0,5.0,23378838.716,5282766.089,18096072.627,256966.791778
13251,2022,IN,IN,WHOLE,LEATH,397.81,23002760.509,2.0,2.0,23002760.509,5905949.613,17096810.896,57823.484852
5034,2022,IN,IN,FORES,FORES,858.85,22612898.461,1.0,1.0,22612898.461,0.0,22612898.461,26329.27573
11092,2022,IN,IN,RETA1,LEATH,338.9,22609875.805,2.0,2.0,22609875.805,5805079.001,16804796.804,66715.478917
